관리번호,도로명주소,데이터기준일자,
03-15-12,서울특별시 마포구 성산2동 새터산 7길 5,2025-04-22,
03-15-13,서울특별시 마포구 성산2동 새터산 5길 44 ,2025-04-22,
03-15-14,서울특별시 마포구 성산2동 새터산14길 46,2025-04-22,
03-15-15,서울특별시 마포구 성산2동 월드컵로 36길 47,2025-04-22,
03-15-16,서울특별시 마포구 성산2동 월드컵북로 198-4 ,2025-04-22,
03-15-17,서울특별시 마포구 성산2동 월드컵로 36길 47-16 ,2025-04-22,
03-15-18,서울특별시 마포구 성산2동 월드컵북로 210 ,2025-04-22,
03-15-19,서울특별시 마포구 성산2동 모래내로 7길 84 ,2025-04-22,
03-15-20,서울특별시 마포구 성산2동 모래내로 7길 62 ,2025-04-22,
03-15-21,서울특별시 마포구 성산2동 모래내로 7길 41 ,2025-04-22,
03-15-22,서울특별시 마포구 성산2동 모래내로 7길 30 ,2025-04-22,
03-15-23,서울특별시 마포구 성산2동 성암로 1길 22 ,2025-04-22,
03-15-24,서울특별시 마포구 성산2동 모래내로 9길 15 ,2025-04-22,
03-15-25,서울특별시 마포구 성산2동 모래내로 9길 24 ,2025-04-22,
03-15-26,서울특별시 마포구 성산2동 성암로 5길 37,2025-04-22,
03-15-27,서울특별시 마포구 성산2동 성암로 3가길 13 ,2025-04-22,
03-15-28,서울특별시 마포구 성산2동 성암로 11길 28 ,2025-04-22,
03-15-29,서울특별시 마포구 성산2동 성암로 9길 14 ,2025-04-22,
03-15-30,서울특별시 마포구 성산2동 성암로 9안길 8-10 ,2025-04-22,
03-15-31,서울특별시 마포구 성산2동 성암로5길 18,2025-04-22,
03-15-32,서울특별시 마포구 성산2동 월드컵북로38가길 24,2025-04-22,
03-16-01,서울특별시 마포구 상암동 월드컵북로 45길 6-7,2025-04-22,
03-16-02,서울특별시 마포구 상암동 월드컵북로 43길 37,2025-04-22,
03-16-03,서울특별시 마포구 상암동 월드컵북로 43길 28 ,2025-04-22,
03-16-04,서울특별시 마포구 상암동 월드컵북로 45길 9 ,2025-04-22,
03-16-05,서울특별시 마포구 상암동 월드컵북로 43길 20 ,2025-04-22,
03-16-06,서울특별시 마포구 상암동 월드컵북로 43길 6 ,2025-04-22,
03-16-07,서울특별시 마포구 상암동 매봉산로 2길 51 ,2025-04-22,
03-16-08,서울특별시 마포구 상암동 매봉산로 2길 45 ,2025-04-22,
03-16-09,서울특별시 마포구 상암동 월드컵북로 48길 28-12 ,2025-04-22,
03-16-10,서울특별시 마포구 상암동 매봉산로 2안길 12 ,2025-04-22,
03-16-11,서울특별시 마포구 상암동 월드컵북로 48길 5 ,2025-04-22,
03-16-12,서울특별시 마포구 상암동 성암로 211,2025-04-22,
03-16-13,서울특별시 마포구 상암동 매봉산로 2길 16,2025-04-22,
03-16-14,서울특별시 마포구 상암동 성암로 13길 54,2025-04-22,
03-16-15,서울특별시 마포구 상암동 성암로13길 64 ,2025-04-22,
03-16-16,서울특별시 마포구 상암동 월드컵북로 42가길 6 ,2025-04-22,
03-16-17,서울특별시 마포구 상암동 월드컵북로 42다길 14 ,2025-04-22,
03-16-18,서울특별시 마포구 상암동 월드컵북로 42라길 19 ,2025-04-22,
03-16-19,서울특별시 마포구 상암동 성암로 15길 46 ,2025-04-22,
03-16-20,서울특별시 마포구 상암동 성암로 13길 17 ,2025-04-22,
03-16-21,서울특별시 마포구 상암동 월드컵북로 42가길 32,2025-04-22,
03-16-22,서울특별시 마포구 상암동 월드컵북로 42가길 28 ,2025-04-22,
