관리번호,도로명주소,데이터기준일자,
01-07-04,서울특별시 마포구 신수동 광성로 36-1,2025-04-22,
01-07-05,서울특별시 마포구 신수동 독막로29길 29-4,2025-04-22,
01-07-06,서울특별시 마포구 신수동 광성로42-1,2025-04-22,
01-07-07,서울특별시 마포구 신수동 신수로 102,2025-04-22,
01-07-08,서울특별시 마포구 신수동 신수로6길 21,2025-04-22,
01-07-09,서울특별시 마포구 신수동 신수로 80,2025-04-22,
01-07-10,서울특별시 마포구 신수동 신수로 90,2025-04-22,
01-07-11,서울특별시 마포구 신수동 광성로 4,2025-04-22,
01-07-12,서울특별시 마포구 신수동 독막로 182,2025-04-22,
01-07-13,서울특별시 마포구 신수동 독막로24길 9,2025-04-22,
01-07-14,서울특별시 마포구 신수동 독막로24길 25,2025-04-22,
01-07-15,서울특별시 마포구 신수동 독막로 188,2025-04-22,
01-07-16,서울특별시 마포구 신수동 독막로26길 22,2025-04-22,
01-07-17,서울특별시 마포구 신수동 독막로26길 16,2025-04-22,
01-07-18,서울특별시 마포구 신수동 토정로15안길 5,2025-04-22,
01-07-19,서울특별시 마포구 신수동 토정로 221,2025-04-22,
01-07-20,서울특별시 마포구 신수동 독막로26길 42,2025-04-22,
01-07-21,서울특별시 마포구 신수동 독막로28길 34,2025-04-22,
01-07-22,서울특별시 마포구 신수동 독막로28길 53,2025-04-22,
01-07-23,서울특별시 마포구 신수동 독막로28길 65,2025-04-22,
01-07-24,서울특별시 마포구 신수동 독막로32길 43,2025-04-22,
01-07-25,서울특별시 마포구 신수동 독막로28길 19,2025-04-22,
01-07-26,서울특별시 마포구 신수동 독막로32길 15,2025-04-22,
01-07-27,서울특별시 마포구 신수동 대흥로9길 24,2025-04-22,
01-07-28,서울특별시 마포구 신수동 대흥로9길 10,2025-04-22,
01-07-29,서울특별시 마포구 신수동 대흥로11길 5,2025-04-22,
01-07-30,서울특별시 마포구 신수동 토정로16길 10,2025-04-22,
01-07-31,서울특별시 마포구 신수동 독막로 227,2025-04-22,
01-07-32,서울특별시 마포구 신수동 신수로 25-8,2025-04-22,
01-07-33,서울특별시 마포구 신수동 토정로14길 23,2025-04-22,
01-07-34,서울특별시 마포구 신수동 신수로3길 11,2025-04-22,
01-07-35,서울특별시 마포구 신수동 신수로3길 3-13,2025-04-22,
01-07-36,서울특별시 마포구 신수동 광성로4길 5,2025-04-22,
01-08-01,서울특별시 마포구 서강동 서강로 36,2025-04-22,
01-08-02,서울특별시 마포구 서강동 독막로22길 1-18,2025-04-22,
01-08-03,서울특별시 마포구 서강동 독막로20길 42,2025-04-22,
01-08-04,서울특별시 마포구 서강동 토정로167,2025-04-22,
01-08-05,서울특별시 마포구 서강동 독막로21길 7,2025-04-22,
01-08-06,서울특별시 마포구 서강동 독막로21길 23,2025-04-22,
01-08-07,서울특별시 마포구 서강동 서강로1길 30,2025-04-22,
01-08-08,서울특별시 마포구 서강동 서강로3길 33,2025-04-22,
01-08-09,서울특별시 마포구 서강동 서강로5길 16-19,2025-04-22,
01-08-10,서울특별시 마포구 서강동 와우산로32길 5,2025-04-22,
01-08-11,서울특별시 마포구 서강동 와우산로30길 74,2025-04-22,
01-08-12,서울특별시 마포구 서강동 와우산로30길 56,2025-04-22,
01-08-13,서울특별시 마포구 서강동 와우산로30길 36,2025-04-22,
01-08-14,서울특별시 마포구 서강동 와우산로24길 23,2025-04-22,
01-08-15,서울특별시 마포구 서강동 와우산로 59-1,2025-04-22,
01-08-16,서울특별시 마포구 서강동 와우산로 29,2025-04-22,
01-08-17,서울특별시 마포구 서강동 독막로 95-21,2025-04-22,
01-08-18,서울특별시 마포구 서강동 서강로 75-16,2025-04-22,
01-08-19,서울특별시 마포구 서강동 독막로12길 5,2025-04-22,
01-08-20,서울특별시 마포구 서강동 와우산로3안길 49-6,2025-04-22,
01-08-21,서울특별시 마포구 서강동 어울마당로 20,2025-04-22,
01-08-22,서울특별시 마포구 서강동 어울마당로 13,2025-04-22,
01-08-23,서울특별시 마포구 서강동 어울마당로 2,2025-04-22,
01-08-24,서울특별시 마포구 서강동 독막로12길 46,2025-04-22,
01-08-25,서울특별시 마포구 서강동 어울마당로2길 9,2025-04-22,
01-08-26,서울특별시 마포구 서강동 독막로12안길 27,2025-04-22,
01-08-27,서울특별시 마포구 서강동 와우산로 15-3,2025-04-22,
01-08-28,서울특별시 마포구 서강동 토정로 77,2025-04-22,
01-08-29,서울특별시 마포구 서강동 토정로 95,2025-04-22,
01-08-30,서울특별시 마포구 서강동 와우산로1길 21,2025-04-22,
01-08-31,서울특별시 마포구 서강동 와우산로1길 30,2025-04-22,
01-08-32,서울특별시 마포구 서강동 토정로 104,2025-04-22,
01-08-33,서울특별시 마포구 서강동 독막로19길 42-6,2025-04-22,
01-08-34,서울특별시 마포구 서강동 와우산로 10,2025-04-22,
01-08-35,서울특별시 마포구 서강동 토정로11길 42,2025-04-22,
01-08-36,서울특별시 마포구 서강동 토정로11길 17,2025-04-22,
01-08-37,서울특별시 마포구 서강동 토정로11길 11,2025-04-22,
01-08-38,서울특별시 마포구 서강동 토정로 132,2025-04-22,
01-08-39,서울특별시 마포구 서강동 독막로 68,2025-04-22,
01-08-40,서울특별시 마포구 서강동 와우산로5길 29,2025-04-22,
02-09-01,서울특별시 마포구 서교동 동교로 13길 8,2025-04-22,
02-09-02,서울특별시 마포구 서교동 동교로 120,2025-04-22,
02-09-03,서울특별시 마포구 서교동 동교로 16길 26,2025-04-22,
02-09-04,서울특별시 마포구 서교동 잔다리로7안길 41,2025-04-22,
02-09-05,서울특별시 마포구 서교동 동교로 12길 21,2025-04-22,
02-09-06,서울특별시 마포구 서교동 동교로 12길 42,2025-04-22,
02-09-07,서울특별시 마포구 서교동 월드컵북로5길 49,2025-04-22,
02-09-08,서울특별시 마포구 서교동 동교로 157-1,2025-04-22,
02-09-09,서울특별시 마포구 서교동 월드컵로10길 56,2025-04-22,
02-09-10,서울특별시 마포구 서교동 월드컵북로 4길 47,2025-04-22,
02-09-11,서울특별시 마포구 서교동 동교동 200-2 ,2025-04-22,
02-09-12,서울특별시 마포구 서교동 동교로 27길 26,2025-04-22,
02-09-13,서울특별시 마포구 서교동 월드컵북로 4길 87,2025-04-22,
02-09-14,서울특별시 마포구 서교동 동교로 25길 5,2025-04-22,
02-09-15,서울특별시 마포구 서교동 동교로 212-2,2025-04-22,
02-09-16,서울특별시 마포구 서교동 신촌로12나길 32,2025-04-22,
02-09-17,서울특별시 마포구 서교동 신촌로12나길 12,2025-04-22,
02-09-18,서울특별시 마포구 서교동 신촌로10길 16,2025-04-22,
02-09-19,서울특별시 마포구 서교동 신촌로 6길 17,2025-04-22,
02-09-20,서울특별시 마포구 서교동 와우산로 37길 24,2025-04-22,
02-09-21,서울특별시 마포구 서교동 와우산로 35길 39,2025-04-22,
02-09-22,서울특별시 마포구 서교동 와우산로 35길 17,2025-04-22,
02-09-23,서울특별시 마포구 서교동 와우산로 33길 27,2025-04-22,
02-09-24,서울특별시 마포구 서교동 와우산로 29나길 15,2025-04-22,
02-09-25,서울특별시 마포구 서교동 와우산로 29가길 48,2025-04-22,
02-09-26,서울특별시 마포구 서교동 와우산로 27길 75,2025-04-22,
02-09-27,서울특별시 마포구 서교동 홍익로 2길 37,2025-04-22,
02-09-28,서울특별시 마포구 서교동 와우산로 23길 15,2025-04-22,
02-09-29,서울특별시 마포구 서교동 와우산로27길44,2025-04-22,
02-09-31,서울특별시 마포구 서교동 월드컵로14길 5,2025-04-22,
02-09-32,서울특별시 마포구 서교동 월드컵로16길 15,2025-04-22,
02-09-33,서울특별시 마포구 서교동 잔다리로 117 ,2025-04-22,
02-09-34,서울특별시 마포구 서교동 월드컵로16길 65,2025-04-22,
02-09-35,서울특별시 마포구 서교동 월드컵북로7길 60,2025-04-22,
02-09-36,서울특별시 마포구 서교동 동교로13길 52-5,2025-04-22,
02-09-37,서울특별시 마포구 서교동 월드컵로16길 47,2025-04-22,
02-09-38,서울특별시 마포구 서교동 양화로8길 17-20,2025-04-22,
02-09-39,서울특별시 마포구 서교동 양화로10길 36,2025-04-22,
02-09-40,서울특별시 마포구 서교동 동교로17길 54,2025-04-22,
02-09-41,서울특별시 마포구 서교동 양화로23길 34,2025-04-22,
02-09-42,서울특별시 마포구 서교동 동교로30길 17-7,2025-04-22,
02-09-43,서울특별시 마포구 서교동 월드컵북로2길 93,2025-04-22,
02-09-44,서울특별시 마포구 서교동 월드컵로14길 51,2025-04-22,
02-09-45,서울특별시 마포구 서교동 월드컵북로9길 17-8,2025-04-22,
02-09-46,서울특별시 마포구 서교동 서강로 117,2025-04-22,
02-10-01,서울특별시 마포구 합정동 독막로4길 11,2025-04-22,
02-10-02,서울특별시 마포구 합정동 독막로4길 41,2025-04-22,
02-10-03,서울특별시 마포구 합정동 독막로6길 22,2025-04-22,
02-10-04,서울특별시 마포구 합정동 독막로8길 32,2025-04-22,
02-10-05,서울특별시 마포구 합정동 동교로 16-18,2025-04-22,
02-10-06,서울특별시 마포구 합정동 동교로8길 15,2025-04-22,
02-10-07,서울특별시 마포구 합정동 성지1길 33,2025-04-22,
02-10-08,서울특별시 마포구 합정동 성지3길 34,2025-04-22,
02-10-09,서울특별시 마포구 합정동 성지3길 74,2025-04-22,
02-10-10,서울특별시 마포구 합정동 성지길 49,2025-04-22,
02-10-11,서울특별시 마포구 합정동 양화로1길 29,2025-04-22,
02-10-12,서울특별시 마포구 합정동 양화로1길 54,2025-04-22,
02-10-13,서울특별시 마포구 합정동 양화로3길 78,2025-04-22,
02-10-14,서울특별시 마포구 합정동 양화진길 17,2025-04-22,
02-10-15,서울특별시 마포구 합정동 양화진길 29,2025-04-22,
02-10-16,서울특별시 마포구 합정동 어울마당로3길 19,2025-04-22,
02-10-17,서울특별시 마포구 합정동 월드컵로5길 33-11,2025-04-22,
02-10-18,서울특별시 마포구 합정동 월드컵로5길 36-8,2025-04-22,
02-10-19,서울특별시 마포구 합정동 월드컵로5길 51,2025-04-22,
02-10-20,서울특별시 마포구 합정동 월드컵로5길 59,2025-04-22,
02-10-21,서울특별시 마포구 합정동 월드컵로7길 17,2025-04-22,
02-10-22,서울특별시 마포구 합정동 월드컵로7안길 20,2025-04-22,
02-10-23,서울특별시 마포구 합정동 토정로 9,2025-04-22,
02-10-24,서울특별시 마포구 합정동 토정로 28,2025-04-22,
02-10-25,서울특별시 마포구 합정동 토정로30,2025-04-22,
02-10-26,서울특별시 마포구 합정동 토정로 46,2025-04-22,
02-10-27,서울특별시 마포구 합정동 토정로2길 5,2025-04-22,
02-10-28,서울특별시 마포구 합정동 토정로3안길 26,2025-04-22,
02-10-29,서울특별시 마포구 합정동 토정로4길 53,2025-04-22,
02-10-30,서울특별시 마포구 합정동 토정로5길 18,2025-04-22,
02-10-31,서울특별시 마포구 합정동 포은로2가길 29,2025-04-22,
02-10-32,서울특별시 마포구 합정동 희우정로 31,2025-04-22,
02-10-33,서울특별시 마포구 합정동 희우정로 40,2025-04-22,
02-10-34,서울특별시 마포구 합정동 희우정로 46,2025-04-22,
02-10-35,서울특별시 마포구 합정동 희우정로1길 25,2025-04-22,
02-10-36,서울특별시 마포구 합정동 희우정로1길 48,2025-04-22,
02-10-38,서울특별시 마포구 합정동 희우정로 41,2025-04-22,
02-11-01,서울특별시 마포구 망원1동 동교로3길 36,2025-04-22,
02-11-02,서울특별시 마포구 망원1동 동교로3길 53,2025-04-22,
02-11-03,서울특별시 마포구 망원1동 동교로3길 80,2025-04-22,
02-11-04,서울특별시 마포구 망원1동 동교로3길 129,2025-04-22,
02-11-05,서울특별시 마포구 망원1동 망원로2길 24,2025-04-22,
02-11-06,서울특별시 마포구 망원1동 망원로2길 34,2025-04-22,
