연번,행정동,주소,상세위치,위도,경도,데이터 기준일
332,이문동,서울특별시 동대문구 이문로25길 91,건물 앞,37.59653,127.0579,2025-04-04
333,이문동,서울특별시 동대문구 이문로9길 3,건물 앞,37.59292,127.0574,2025-04-04
334,이문동,서울특별시 동대문구 이문로 64-1,건물 앞,37.59309,127.058,2025-04-04
335,이문동,서울특별시 동대문구 이문로12길 41,건물 앞,37.59304,127.0599,2025-04-04
336,이문동,서울특별시 동대문구 이문로 70,건물 앞,37.59754,127.0591,2025-04-04
337,이문동,서울특별시 동대문구 이문로 80,건물 앞,37.5942,127.0589,2025-04-04
338,이문동,서울특별시 동대문구 이문로 90,건물 앞,37.59505,127.0594,2025-04-04
339,이문동,서울특별시 동대문구 휘경로2길 24,건물 앞,37.59522,127.0604,2025-04-04
340,이문동,서울특별시 동대문구 이문로16길 35,건물 앞,37.59441,127.0607,2025-04-04
341,이문동,서울특별시 동대문구 이문로16길 47,건물 앞,37.59427,127.0613,2025-04-04
342,이문동,서울특별시 동대문구 휘경로10길 38,건물 앞,37.59396,127.0618,2025-04-04
343,이문동,서울특별시 동대문구 휘경로10길 28,건물 앞,37.59429,127.062,2025-04-04
344,이문동,서울특별시 동대문구 휘경로 26-7,건물 앞,37.59507,127.0624,2025-04-04
345,이문동,서울특별시 동대문구 휘경로 15,건물뒤,37.59611,127.062,2025-04-04
346,이문동,서울특별시 동대문구 이문로 118,건물 앞,37.59729,127.0609,2025-04-04
347,이문동,서울특별시 동대문구 이문로 136,건물 앞,37.59867,127.0619,2025-04-04
348,이문동,서울특별시 동대문구 이문로 156,건물 앞,37.6006,127.0623,2025-04-04
349,이문동,서울특별시 동대문구 이문로42길 17,건물 앞,37.60105,127.063,2025-04-04
350,이문동,서울특별시 동대문구 이문로46길 44-17,건물 앞,37.60109,127.0646,2025-04-04
351,이문동,서울특별시 동대문구 이문로 166,건물 앞,37.60149,127.0622,2025-04-04
352,이문동,서울특별시 동대문구 이문로25길 11,건물 앞,37.59568,127.059,2025-04-04
353,이문동,서울특별시 동대문구 이문로25길 22-1,건물 앞,37.596,127.0582,2025-04-04
354,이문동,서울특별시 동대문구 이문로21길 17,건물 앞,37.59547,127.0584,2025-04-04
355,이문동,서울특별시 동대문구 회기로25가길 22,건물 앞,37.59433,127.057,2025-04-04
356,이문동,서울특별시 동대문구 이문로13길 31,건물 앞,37.59385,127.0565,2025-04-04
357,이문동,서울특별시 동대문구 이문로9길 52,학교 정문쪽,37.59467,127.0565,2025-04-04
358,이문동,서울특별시 동대문구 이문동 산 15-11,자율방법대 앞,37.5948,127.0565,2025-04-04
359,이문동,서울특별시 동대문구 이문로9길 74,건물 앞,37.59544,127.0569,2025-04-04
360,이문동,서울특별시 동대문구 이문로9길 84,건물 앞,37.59593,127.0579,2025-04-04
361,이문동,서울특별시 동대문구 이문로9길 105-13,건물 앞,37.59697,127.0565,2025-04-04
362,이문동,서울특별시 동대문구 이문로9길 103,건물 앞,37.59683,127.0567,2025-04-04
363,이문동,서울특별시 동대문구 이문로9길 105,건물 앞,37.59697,127.0566,2025-04-04
364,이문동,서울특별시 동대문구 이문로9길 105-16,건물 앞,37.59663,127.056,2025-04-04
365,이문동,서울특별시 동대문구 이문로9가길 5-13,건물 앞,37.59675,127.0559,2025-04-04
366,이문동,서울특별시 동대문구 경희대로 26,삼의원창업센터,37.59691,127.0514,2025-04-04
367,이문동,서울특별시 동대문구 이문로9길 115,건물 앞,37.59748,127.0567,2025-04-04
368,이문동,서울특별시 동대문구 이문로9길 123,건물 앞,37.59775,127.0568,2025-04-04
369,이문동,서울특별시 동대문구 천장산로7길 10-1,건물 앞,37.59872,127.0572,2025-04-04
370,이문동,서울특별시 동대문구 이문로9나길 20,건물 앞,37.59785,127.056,2025-04-04
371,이문동,서울특별시 동대문구 천장산로7길 54,건물 앞,37.59849,127.0548,2025-04-04
372,이문동,서울특별시 동대문구 천장산로7길 62,건물 앞,37.59846,127.0545,2025-04-04
373,이문동,서울특별시 동대문구 천장산로9길 30-3,건물 앞,37.59941,127.0558,2025-04-04
374,이문동,서울특별시 동대문구 천장산로9길 16-4,건물 앞,37.59935,127.0569,2025-04-04
375,이문동,서울특별시 동대문구 천장산로9길 8-4,건물 앞,37.59937,127.0572,2025-04-04
376,이문동,서울특별시 동대문구 천장산로 31,건물 앞,37.59879,127.0577,2025-04-04
377,이문동,서울특별시 동대문구 천장산로 39,건물 앞,37.59943,127.0574,2025-04-04
378,이문동,서울특별시 동대문구 천장산로11길 36,건물 앞,37.60008,127.0554,2025-04-04
379,답십리1동,서울특별시 동대문구 답십리로40길 7,한성빌딩주차장 입구 담,37.5734543,127.0510538,2025-04-04
380,답십리1동,서울특별시 동대문구 답십리로 78,쌈짓돈생삼겹 맞은편,37.574938,127.0491627,2025-04-04
381,답십리1동,서울특별시 동대문구 답십리로30길 28,간데메공원 방범초소옆,37.5741033,127.0481767,2025-04-04
382,답십리1동,서울특별시 동대문구 답십리로38길 25,간데메공원 (답3동 새마을방역봉사대옆),37.5731991,127.0498592,2025-04-04
383,답십리1동,서울특별시 동대문구 답십리로38길 39,간데메공원 ,37.5726668,127.049355,2025-04-04
384,답십리1동,서울특별시 동대문구 답십리로30길 44 ,빛과진리교회 맞은편 간데메공원 입구,37.5735261,127.0477549,2025-04-04
385,답십리1동,서울특별시 동대문구 답십리로30길 44 ,빛과진리교회 맞은편 간데메공원 입구,37.5735261,127.0477549,2025-04-04
386,답십리1동,서울특별시 동대문구 서울시립대로2길 16-1,한양빌라 입구,37.5736356,127.0469405,2025-04-04
387,답십리1동,서울특별시 동대문구 고미술로 43,고미술상가6동옆,37.5678097,127.0527841,2025-04-04
388,답십리1동,서울특별시 동대문구 황물로 111,이마트24 건너편,37.5690637,127.0518664,2025-04-04
389,답십리1동,서울특별시 동대문구 고미술로14,개미포차 건너편,37.5696646,127.0502401,2025-04-04
390,답십리1동,서울특별시 동대문구 천호대로67길 28,중경빌딩 건너편,37.5699108,127.0511415,2025-04-04
391,답십리1동,서울특별시 동대문구 천호대로67길 43,착한부동산 건너편 ,37.570574,127.0516526,2025-04-04
392,답십리1동,서울특별시 동대문구 천호대로71길 44,세운종합상사 건너편,37.5689327,127.0538512,2025-04-04
393,답십리1동,서울특별시 동대문구 사가정로2길 100,또와수퍼 건너편,37.5683683,127.0545834,2025-04-04
394,답십리1동,서울특별시 동대문구 사가정로2길 121,신진케미칼 옆,37.5678432,127.0556021,2025-04-04
395,답십리1동,서울특별시 동대문구 전농로3가길 2,명지피아노건너편 ,37.5696293,127.0561121,2025-04-04
396,답십리1동,서울특별시 동대문구 전농로3길 68-1,답십리재림교회옆,37.5707907,127.0559842,2025-04-04
397,답십리2동,서울특별시 동대문구 한천로11길 51,문화이발관건너편,37.566834,127.0593852,2025-04-04
398,답십리2동,서울특별시 동대문구 답십리로56길 89,공영주차장옆,37.5687294,127.0588778,2025-04-04
399,답십리2동,서울특별시 동대문구 답십리로56길 90,,37.5689449,127.0587296,2025-04-04
400,답십리2동,서울특별시 동대문구 답십리로56길 56,답십리두산박스터널입구,37.5703724,127.059181,2025-04-04
401,답십리2동,서울특별시 동대문구 답십리로52길 19,신답교회주차장,37.5715893,127.0590659,2025-04-04
402,답십리2동,서울특별시 동대무구 답십리로59길 57,디지털 봉제기기앞,37.5751945,127.0669634,2025-04-04
403,답십리2동,서울특별시 동대문구 답십리로59길 26,우성그린공인중개사 옆,37.573813,127.0664917,2025-04-04
404,답십리2동,서울특별시 동대문구 한천로 123,레이지코지앞,37.572368,127.0654598,2025-04-04
405,답십리2동,서울특별시 동대문구 답십리로60길 45,장수빌라트앞,37.5707599,127.0643996,2025-04-04
406,답십리2동,서울특별시 동대문구 답십리로60길 92,민중빌라트옆,37.5693221,127.0627031,2025-04-04
407,답십리2동,서울특별시 동대문구 한천로11길 18,답십리2동 주민센터 앞,37.5674156,127.0613256,2025-04-04
408,답십리2동,서울특별시 동대문구 황물로15길 1,황금정육점 건너편,37.5663421,127.0589646,2025-04-04
409,답십리2동,서울특별시 동대문구 황물로15길 34,"케이원,엑스프로베터리 사이",37.5660425,127.0587303,2025-04-04
410,전농1동,서울특별시 동대문구 서울시립대로19길55,,37.583063,127.0512009,2025-04-04
411,전농1동,서울특별시 동대문구 전농로37길 96-14,,37.5815274,127.0510986,2025-04-04
412,전농1동,서울특별시 동대문구 전농로37길 21,전일청소년독서실 주차장 대각선방향,37.5843734,127.0515575,2025-04-04
413,전농1동,서울특별시 서울시립대로19길 21,,37.5825141,127.0501679,2025-04-04
414,전농1동,서울특별시 동대문구 답십리로29길 28,텃골근린공원,37.5774923,127.0507966,2025-04-04
415,전농1동,서울특별시 동대문구 전농로37길 21,,37.5843642,127.0515618,2025-04-04
416,전농1동,서울특별시 동대문구 전농로37길 2,,37.5852558,127.0530537,2025-04-04
417,전농1동,서울특별시 동대문구 전농로38나길 4,현대미싱옆,37.5858115,127.0528148,2025-04-04
418,전농1동,서울특별시 동대문구 전농로38길 12,은주네반찬 앞,37.5852731,127.0530473,2025-04-04
419,전농1동,서울특별시 동대문구 전농로38다길 4,,37.5860505,127.0532033,2025-04-04
420,전농1동,서울특별시 동대문구 전농로38길 24,뉴화양빌라 건너편,37.5863263,127.0531894,2025-04-04
421,전농1동,서울특별시 동대문구 전농로38길 30,세화아파트 건너편,37.586369,127.0534023,2025-04-04
422,전농1동,서울특별시 동대문구 전농로38길 46,cu편의점 대각선방향,37.5864543,127.0542279,2025-04-04
423,전농1동,서울특별시 동대문구 서울시립대로29길 70,해봄빌라옆,37.586635,127.0549363,2025-04-04
424,전농1동,서울특별시 동대문구 서울시립대로29길 24,,37.5846637,127.0547099,2025-04-04
425,전농1동,서울특별시 동대문구 전농로36가길 23-1,,37.5845299,127.0532947,2025-04-04
426,전농1동,서울특별시 동대문구 전농로29길 42,전곡마을마당공원입구,37.5809644,127.0546995,2025-04-04
427,전농1동,서울특별시 동대문구 답십리로23다길 32,로얄하이츠빌라옆,37.5802742,127.0538974,2025-04-04
428,전농1동,서울특별시 동대문구 전농로27길 25,,37.5808551,127.0537844,2025-04-04
429,전농1동,서울특별시 동대문구 답십리로23길 120,,37.5802762,127.0518715,2025-04-04
430,전농1동,서울특별시 동대문구 답십리로23길 58,샛말어린이공원입구,37.5778602,127.0499919,2025-04-04
431,전농1동,서울특별시 동대문구 시립대로5길 4,,37.5757645,127.0469077,2025-04-04
432,전농1동,서울특별시 동대문구 답십리로15길 26,럭키연립옆,37.5775372,127.0472055,2025-04-04
433,전농1동,서울특별시 동대문구 답십리로15길 39,전농1동주민센터방향,37.5781206,127.0473787,2025-04-04
434,전농1동,서울특별시 동대문구 전농로21길 55,대한불교진각종무애심인당 오른쪽 담,37.579014,127.0546839,2025-04-04
435,전농1동,서울특별시 동대문구 전농로17길 7,봉순이네 뼈 감자탕집 건너편,37.5784526,127.0565952,2025-04-04
436,전농1동,서울특별시 동대문구 서울시립대로3길 22,바이림 건너편,37.5756202,127.0456979,2025-04-04
437,전농2동,서울특별시 동대문구 전농로30길 7,동대문구보훈회관,37.5827234,127.0548661,2025-04-04
438,전농2동,서울특별시 동대문구 한천로 185,동트리움102,37.5775808,127.0677978,2025-04-04
439,전농2동,서울특별시 동대문구 한천로 185,동트리움101,37.5775808,127.0677978,2025-04-04
440,전농2동,서울특별시 동대문구 전농로20길 31,혜성여자고등학교 입구  바마이클커피전문점 건너편,37.5795786,127.0571495,2025-04-04
441,전농2동,서울특별시 동대문구 사가정로15길 20,성덕교회입구,37.5786007,127.0595919,2025-04-04
442,전농2동,서울특별시 동대문구 사가정로17길 21,아름드리어린이공원입구,37.5788962,127.059926,2025-04-04
443,전농2동,서울특별시 동대문구 한천로43길 23,41차퍼시픽하우스앞 배봉산입구계단,37.5804323,127.0669251,2025-04-04
444,전농2동,서울특별시 동대문구 한천로41길 11,한살림앞,37.5795442,127.0678444,2025-04-04
445,전농2동,서울특별시 동대문구 한천로33가길 17,,37.5775112,127.0666986,2025-04-04
446,전농2동,서울특별시 동대문구 한천로33가길 17-2,정춘정 공예교실 건너편,37.5776936,127.0665328,2025-04-04
447,전농2동,서울특별시 동대문구 사가정로13가길 32,CU편의점 건너편 아름드리어린이공원입구,37.5795952,127.0597105,2025-04-04
448,장안1동,동대문구 천호대로95길 16,장안동 제이에스아파트 앞,37.5624378,127.070386,2025-04-04
449,장안1동,동대문구 천호대로 89길 52,동아쉐르빌 앞,37.563917,127.0692468,2025-04-04
450,장안1동,동대문구 답십리로68길 35,장수연립 맞은편,37.5709006,127.0690594,2025-04-04
451,장안1동,동대문구 장안로26가길 113,장안1동 문화센터 앞,37.5670296,127.0693389,2025-04-04
452,장안1동,동대문구 천호대로87길 43,미나리어린이공원 화장실 근처,37.56369,127.0684306,2025-04-04
453,장안1동,동대문구 장한로34,장안소방서 주차장 옆,37.5641586,127.0672403,2025-04-04
454,장안1동,동대문구 장한로10길 48,금성아트빌 101동 앞,37.5645165,127.0696163,2025-04-04
455,장안1동,동대문구 장한로10길 28,홍해오크팰리스 정문 앞,37.5648108,127.0687543,2025-04-04
456,장안1동,동대문구 장한로12길 18,장안동 임진강 메기메운탕 건너편,37.5655745,127.0686369,2025-04-04
457,장안1동,동대문구 장한로12길 62,형인허브빌 아파트 어린이 보호구역 앞,37.5648823,127.0707451,2025-04-04
458,장안1동,동대문구 장한로12길 73,장안동 정석빌딩 앞,37.5645714,127.0717029,2025-04-04
459,장안1동,동대문구 장한로12길 90,장안동 상록파라브아파트 101동 옆,37.5642708,127.0721253,2025-04-04
460,장안1동,동대문구 장한로14길 61,안평초등학교 횡단보도 앞,37.5650576,127.0723097,2025-04-04
461,장안1동,동대문구 장한로18길 26-10,장안동 장평중학교 후문 앞,37.5669936,127.0700631,2025-04-04
462,장안1동,동대문구 장한로18길 26-14,장평중학교후문 아르떼피아노 앞,37.5665374,127.0695959,2025-04-04
463,장안1동,동대문구 답십리로68길 24,장미어린이공원 CU옆,37.5714705,127.0693476,2025-04-04
464,장안1동,동대문구 답십리로68길 32,장안동U포그니 2차아파트 옆,37.5711345,127.068461,2025-04-04
465,장안1동,동대문구 답십리로64길 16,동대문구 선거관리위원회 앞,37.571852,127.0671045,2025-04-04
466,장안1동,동대문구 장한로17길 20,샛별어린이공원 앞,37.5682177,127.0673363,2025-04-04
467,장안1동,동대문구 장한로17길 20,샛별어린이공원 앞,37.5682177,127.0673363,2025-04-04
468,장안1동,동대문구 장한로17길 20,샛별어린이공원 옆,37.5677757,127.0671429,2025-04-04
469,장안1동,동대문구 한천로18길 52,장안제1동주민센터 앞,37.5678505,127.0665504,2025-04-04
470,장안1동,동대문구 한천로72,민지빌딩(스피드메이트타이어) 뒤,37.5677813,127.0633136,2025-04-04
471,장안1동,동대문구 천호대로83길 77-3,대명빌라맨션 앞,37.5658732,127.0659736,2025-04-04
472,장안1동,동대문구 장한로6길 10,조현약국 맞은편,37.563578,127.0668772,2025-04-04
473,장안1동,동대문구 천호대로 97길 9,장안푸르미에 CU 앞,37.561484,127.0697803,2025-04-04
474,장안1동,동대문구 천호대로89길 33,형인허브빌 아파트 미나리공원 맞은편,37.5637087,127.0684501,2025-04-04
475,장안1동,동대문구 천호대로89길 33,형인허브빌 정문롤이터 앞,37.5633967,127.0688499,2025-04-04
476,장안1동,동대문구 천호대로91길 62,금성연립 가동 옆,37.5643037,127.0701448,2025-04-04
477,장안1동,동대문구 천호대로77가길 27,신일해피트리2차아파트 관리실뒤,37.564107,127.0635072,2025-04-04
478,장안1동,동대문구 천호대로77다길 20,안골어린이공원앞,37.5653934,127.0645418,2025-04-04
479,장안1동,동대문구 장한로3길 34,SK텔레콤 뒤편,37.5645409,127.0639359,2025-04-04
480,장안1동,동대문구 천호대로79길 18 ,금성빌라 앞,37.5633543,127.0628255,2025-04-04
481,장안1동,동대문구 한천로6길,금성빌라 옆,37.5630385,127.0629773,2025-04-04
482,장안1동,동대문구 한천로6길 21, 서울군자초등학교 담 평화발레오동판점건너편,37.5640675,127.0619213,2025-04-04
483,장안1동,동대문구 한천로6길 21,서울군자초등학교 담 홀가하우스 B동 건너편,37.5635719,127.0610011,2025-04-04
484,장안1동,동대문구 한천로6길 21,서울군자초등학교 담 대명이룸아파트 건너편,37.5646743,127.0619497,2025-04-04
485,장안1동,동대문구 한천로 100,버거킹 장안SK점 뒷담,37.5701327,127.0651854,2025-04-04
486,장안1동,동대문구 천호대로77나길 2,장안동 명성세탁소 앞,37.5650946,127.0628442,2025-04-04
487,장안2동,동대문구 장안벚꽃로 3길18,은석초등학교 어린이보호구역 길,37.5786673,127.0751872,2025-04-04
488,장안2동,동대문구 장한로31길 33,장안동성당 앞,37.5754888,127.0696346,2025-04-04
489,장안2동,동대문구 장한로26나길 51,신준용연립 앞,37.5693037,127.0716163,2025-04-04
490,장안2동,동대문구 장안로20길 7,서희스타힐스아파트 앞,37.5684896,127.0701647,2025-04-04
491,장안2동,동대문구 장한로26다길 84,똘비왕족발 건너편,37.5681466,127.070949,2025-04-04
492,장안2동,동대문구 장한로26다길 77,솔향기어린이집옆,37.5683215,127.0718841,2025-04-04
493,장안2동,동대문구 장한로24길 40,제일열립 성수공인중개사사무소건너편,37.5701538,127.0729303,2025-04-04
494,장안2동,서울특별시 동대문구 장한로26나길 31,장안빌하우스,37.5703838,127.0722135,2025-04-04
495,장안2동,서울특별시 동대문구 장한로26길 32,신우상사 옆,37.5712373,127.0734633,2025-04-04
496,장안2동,서울특별시 동대문구 장한로26나길 6,늘봄어린이공원입구,37.5715391,127.0727081,2025-04-04
497,장안2동,서울특별시 동대문구 장한로28가길 11,하은어린이집 옆,37.5736185,127.0726169,2025-04-04
498,장안2동,서울특별시 동대문구 장한로32길,마로니에어린이공원 나정향영어학원건너편,37.5751756,127.0736195,2025-04-04
499,장안2동,서울특별시 동대문구 장한로 178,성광니트 앞,37.5762906,127.0724717,2025-04-04
500,장안2동,서울특별시 동대문구 사가정로 253,미도빌라입구,37.5800668,127.0726259,2025-04-04
501,장안2동,서울특별시 동대문구 사가정로23가길 51,참사랑교회건너편 미도빌라,37.5806588,127.0731661,2025-04-04
502,장안2동,서울특별시 동대문구 사가정로23가길 35,방원예뜨랑아파트 101동 담 화성빌라 건너편,37.580865,127.0721065,2025-04-04
503,장안2동,서울특별시 동대문구 장안동 579,은하수드림필아트101동 ,37.5810807,127.0713607,2025-04-04
504,장안2동,서울특별시 동대문구 사가정로23길 64,성우스타밸리스 103동 건너편 ,37.582022,127.06999,2025-04-04
505,장안2동,서울특별시 동대문구 사가정로23길 40,연후빌딩주차장 건너편,37.5806711,127.069828,2025-04-04
506,장안2동,서울특별시 동대문구 장한로 191,장안교회 입구 건너편,37.5772798,127.070793,2025-04-04
507,장안2동,서울특별시 동대문구 장한로 33길 20,오복연립 다동 천지어패럴 대각선뱡향,37.5764535,127.0706594,2025-04-04
508,장안2동,서울특별시 동대문구 장한로 33길 20,오복연립 다동 장안파크뷰아파트입구,37.5764192,127.0712088,2025-04-04
509,장안2동,서울특별시 동대문구 답십리로65길 44,가든시티 1차 옆,37.5743495,127.0695328,2025-04-04
510,장안2동,서울특별시 동대문구 답십리로63길 48,아름다운교회,37.5745892,127.0688474,2025-04-04
511,장안2동,서울특별시 동대문구 장한로34길 23-12,,37.577209,127.073591,2025-04-04
512,장안2동,서울특별시 동대문구 장한로26나길 72,드립스카이빌(가동) 건너편,37.5687481,127.0712059,2025-04-04
