연번,행정동,주소,데이터기준일자,위도,경도
261.0,구로5동,구로중앙로32가길 87,2024-06-07,37.5028975511583,126.885713678228
262.0,구로5동,구로중앙로32가길 70,2024-06-07,37.5021062181232,126.885362261244
263.0,구로5동,새말로12길 21,2024-06-07,37.5024645869722,126.886428748423
264.0,구로5동,새말로12길 28,2024-06-07,37.5021021019715,126.886417762016
265.0,구로5동,구로중앙로34길 46,2024-06-07,37.5010020427403,126.88546211243
266.0,구로5동,구로중앙로32가길 30,2024-06-07,37.5004399135361,126.885099386003
267.0,구로5동,구로중앙로32가길 40,2024-06-07,37.5009473631681,126.884917662833
268.0,구로5동,새말로 18-41,2024-06-07,37.5016670752913,126.883344804558
269.0,구로5동,새말로 38,2024-06-07,37.5027630198353,126.885052058783
270.0,구로5동,새말로9길 49,2024-06-07,37.5047942632439,126.88665537143
271.0,구로5동,새말로18길 20-15,2024-06-07,37.5053596977975,126.892100960148
272.0,구로5동,새말로9길 46,2024-06-07,37.504466389356,126.886751207289
273.0,구로5동,공원로6나길 43-15,2024-06-07,37.5050938110798,126.891608691181
274.0,구로5동,새말로18길 20-29,2024-06-07,37.5049808857687,126.891380511436
275.0,구로5동,공원로6나길 29-22,2024-06-07,37.5050873550781,126.890859770581
276.0,구로5동,공원로6나길 11-12,2024-06-07,37.5042181406621,126.89035719354
277.0,구로5동,공원로6다길 16,2024-06-07,37.5046962571044,126.890112771052
278.0,구로5동,공원로8길 31,2024-06-07,37.5035795189462,126.890952780781
279.0,구로5동,공원로8길 30-12,2024-06-07,37.5028352074983,126.8911578846
280.0,구로5동,새말로 18길 42,2024-06-07,37.5048591944205,126.892501591098
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
